Student#,Birth Place,I started Hunter as,How I travel to school, L/R handed,I would rather go to school than work,A High School should have a dress code,My favorite season is,I use a seat belt,I am registered to vote,My favorite sport to watch,My favorite sport to participate in,I play a musical instrument,I have a pet,My resting pulse is,I read this many books per year,Siblings,BirthOrder,I have earned this many credits,I study this many hours per week,I watch this many movies per year,I want to major in,My favorite color is,My favorite fruit is,At home I speak,My favorite subject is,My least favorite subject is,I watch this many hours of TV,Where I started school in,Buy text?,Read text?,Learn from reading the text?,Learn from reading my notes?,Learn from working problems?,Learn from rewriting my notes?,Learn from working with a tutor?,Learn from working with another student?,I took Statistics because ,I am Math-Anxious,I am good in math,Height,Weight,VerbalSAT,MathSAT,SAT,GPA
52,USA,freshman,walk,Right,FALSE,TRUE,FALL,TRUE,TRUE,basketball,basketball,FALSE,FALSE,64,4,0,1,9,21,1,economics,black,kiwi,English,economics,English,14,USA,always,sometimes,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,72,160,620,600,1220,3
172,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,TRUE,basketball,volleyball,TRUE,FALSE,unknown,0,1,1,4.5,Unknown,1,occupational therapy,black,strawberry,Greek,psychology,anatomy,14,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,66,120,560,580,1140,3.5
4,USA,sophomore,walk,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,skiing,TRUE,TRUE,60,10,1,1,70,20,1,psychology,red,banana,English,media,French,15,USA,always,always,yes,yes,yes,no,no,no,it's required,TRUE,FALSE,63,110,490,630,1120,3.1
34,USA,sophomore,walk,Right,not sure,FALSE,SUMMER,TRUE,TRUE,tennis,squash,FALSE,FALSE,60,38,1,1,1,30,2,social work,green,banana,English,psychology,math,3,USA,always,always,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,73,205,560,640,1200,3.51
152,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,gymnastics,TRUE,TRUE,unknown,4,0,1,9,7,2,pharmacy,mustard,orange,English,math,global studies,5,USA,always,sometimes,yes,yes,yes,no,no,yes,chose to take,TRUE,TRUE,72,160,620,600,1220,3
116,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,FALSE,hockey,soccer,FALSE,TRUE,70,12,1,1,24,7,2,psychology,gray,banana,English,English,science,5,USA,always,sometimes,no,yes,yes,no,yes,yes,it's required,FALSE,FALSE,62,120,610,800,1410,3.35
179,USA,freshman,ride the subway,Left,TRUE,FALSE,SUMMER,TRUE,FALSE,baseball,basketball,TRUE,TRUE,70,2,1,1,15,10,2,advertising,red,strawberry,English,no favorite,none,6,USA,always,always,yes,yes,yes,yes,yes,yes,it's required,TRUE,TRUE,72,240,690,550,1240,3.49
231,Guyana,freshman,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,FALSE,baseball,kick ball,FALSE,TRUE,unknown,3,2,1,12,8,2,physical therapy,blue,strawberry,English,none,history,9,Guyana,always,usually,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,72,165,520,670,1190,3.5
2,USA,sophomore,ride the subway,Right,TRUE,TRUE,SPRING,TRUE,FALSE,tennis,tennis,TRUE,FALSE,unknown,10,2,2,27,5,2,education,burgundy,strawberry,Greek,English,religion,10,USA,always,usually,no,no,yes,no,yes,yes,chose to take,TRUE,FALSE,66,120,520,630,1150,2.5
60,USA,sophomore,ride the subway,Left,TRUE,TRUE,FALL,TRUE,TRUE,gymnastics,walking,FALSE,TRUE,unknown,8,2,3,40,2,2,psychology,purple,peach,English,psychology,math,10,USA,always,usually,no,no,yes,no,no,no,it's required,TRUE,FALSE,73,215,600,600,1200,3.4
188,USA,junior,ride the subway,Right,FALSE,TRUE,SPRING,FALSE,TRUE,baseball,swimming,TRUE,TRUE,unknown,5,6,7,61,25,2,nursing,purple,watermelon,English,math,health education,10,USA,sometimes,always,yes,no,yes,no,yes,no,it's required,FALSE,TRUE,67,140,650,550,1200,3.1
11,Dominican Republic,freshman,ride the subway,Left,TRUE,TRUE,WINTER,TRUE,FALSE,baseball,volleyball,TRUE,FALSE,67,20,1,2,12,10,2,community health,green,peach,Spanish,math,none,10,Dominican Republic,always,sometimes,yes,yes,yes,no,yes,yes,it's required,FALSE,TRUE,65,140,500,670,1170,2.09
58,China,freshman,ride the subway,Right,FALSE,TRUE,SPRING,TRUE,FALSE,gymnastics,bicycling,FALSE,TRUE,149,1,0,1,15.5,10,2,chemistry,green,orange,Chinese,computer,English,12,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,71,155,590,610,1200,3.7
47,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,FALSE,figure skating,tennis,TRUE,FALSE,unknown,3,1,2,20,10,3,elementary Education,purple,cantaloupe,English,Spanish,history,6,USA,always,sometimes,yes,yes,yes,no,yes,yes,it's required,FALSE,FALSE,69,161,550,650,1200,3.16
106,USA,freshman,ride the subway,Right,TRUE,TRUE,SPRING,FALSE,TRUE,basketball,basketball,TRUE,FALSE,74,2,2,2,42,5,3,nursing,red,apple,Spanish,biology,English,7,USA,always,never,yes,yes,yes,no,no,yes,chose to take,TRUE,TRUE,65,114,600,550,1150,3.2
125,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,football,football,FALSE,FALSE,unknown,3,1,2,24,10,3,science,blue,cherry,English,science,none,15,USA,always,usually,yes,yes,yes,no,no,yes,chose to take,NOT SURE,TRUE,74,185,570,580,1150,3.4
93,USA,freshman,"ride the subway, ride the bus",Right,FALSE,TRUE,FALL,FALSE,FALSE,boxing,running,FALSE,TRUE,68,4,1,2,12,20,3,physical therapy,blue,grapefruit,English,English,history,16,USA,always,always,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,69,130,620,630,1250,3.15
255,Japan,sophomore,ride the subway,Right,TRUE,TRUE,WINTER,TRUE,FALSE,basketball,figure skating,FALSE,FALSE,85,5,1,2,15,10,4,sociology,red,banana,Japanese,sociology,math,1,Japan,always,sometimes,yes,no,yes,no,yes,no,it's required,TRUE,FALSE,70,182,600,620,1220,3.77
202,India,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,basketball,TRUE,FALSE,unknown,8,1,2,12,11,4,psychology,green,apple,English,English,Spanish,6,India,always,sometimes,no,yes,yes,no,no,no,it's required,TRUE,FALSE,66,150,610,680,1290,3.1
68,Dominican Republic,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,TRUE,baseball,swimming,FALSE,FALSE,unknown,3,1,2,27,28,4,accounting,blue,apple,Spanish,accounting,English,8,Dominican Rep,always,sometimes,yes,no,yes,no,yes,yes,chose to take,FALSE,TRUE,66,146,690,620,1310,3.25
6,Guatemala,freshman,ride the subway,Right,not sure,FALSE,FALL,FALSE,TRUE,boxing,soccer,FALSE,TRUE,unknown,6,2,2,26,16,4,computer science,burgundy,orange,Spanish,computer,art history,10,Guatemala,always,usually,no,yes,yes,yes,no,no,it's required,FALSE,TRUE,65,114,600,550,1150,3.2
15,Lebanon,freshman,ride the subway,Left,TRUE,FALSE,SPRING,TRUE,TRUE,basketball,softball,FALSE,FALSE,unknown,6,2,1,17,4,5,accounting,brown,cherry,Arabic,math,science,2,Lebanon,always,never,yes,yes,yes,no,no,no,it's required,NOT SURE,TRUE,72,165,700,650,1350,3
277,Uzbekistan,freshman,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,FALSE,volleyball,walking,TRUE,TRUE,93,0,1,2,16,25,5,accounting,black,plumbs,Russian,math,history,10,Uzbekistan,always,usually,yes,yes,yes,no,yes,yes,chose to take,NOT SURE,TRUE,74,145,560,620,1180,3
261,Norway,sophomore,walk,Right,FALSE,FALSE,SUMMER,TRUE,FALSE,dance,dance,TRUE,FALSE,82,1,1,1,33,18,5,psychology,red,orange,English,psychology,math,10,Norway,always,always,yes,yes,yes,yes,yes,yes,it's required,FALSE,FALSE,70,150,650,680,1330,3.7
258,Japan,freshman,"walk, ride the subway, ride the bus",Right,TRUE,TRUE,WINTER,TRUE,FALSE,swimming,soccer,FALSE,FALSE,unknown,3,0,1,8,35,5,psychology,white,pear,Asian,gym,physics,24,Japan,always,sometimes,yes,yes,yes,yes,no,no,it's required,FALSE,FALSE,69,230,520,590,1110,2.9
44,USA,freshman,ride the subway,Left,FALSE,FALSE,SUMMER,TRUE,TRUE,basketball,volleyball,FALSE,FALSE,93,1,1,2,28,12,6,accounting,blue,banana,Spanish,math,English,7,USA,always,never,yes,yes,yes,yes,no,yes,it's required,FALSE,TRUE,72,174,560,550,1110,3.3
207,Kuwait,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,none,FALSE,FALSE,unknown,0,1,1,12,Unknown,unknown,psychology,blue,watermelon,Urdu,psychology,none,1,Kuwait,always,usually,yes,yes,yes,no,no,no,it's required,FALSE,FALSE,63,130,660,720,1380,3.88
135,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,figure skating,softball,TRUE,FALSE,54,0,1,1,15,4,unknown,physical therapy,lilac,kiwi,English,math,history,2,USA,always,always,yes,no,yes,no,yes,yes,it's required,FALSE,TRUE,67,129,470,600,1070,2.6
107,USA,freshman,ride the bus,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,none,baseball,TRUE,FALSE,21,3,1,1,78,5,0,anthropology,yellow,apple,English,Spanish,math,8,USA,always,always,yes,yes,yes,yes,no,yes,it's required,TRUE,FALSE,66,128,640,680,1320,2.77
89,USA,sophomore,walk,Right,TRUE,TRUE,FALL,TRUE,TRUE,baseball,bicycling,FALSE,FALSE,unknown,3,5,6,46,10,1,recreational therapy,green,apple,English,none,none,0,USA,always,sometimes,yes,yes,yes,yes,yes,yes,chose to take,FALSE,TRUE,68,145,680,570,1250,2.6
190,Yugoslavia,freshman,ride the bus,Right,FALSE,TRUE,SPRING,TRUE,TRUE,baseball,tennis,FALSE,FALSE,60,1,1,1,6,8,1,business management,pink,strawberry,English,math,chemistry,4,Austria,always,sometimes,yes,no,yes,no,no,no,it's required,FALSE,TRUE,72,128,550,600,1150,3.7
66,Brazil,freshman,"ride the subway, ride the bus",Right,TRUE,TRUE,FALL,FALSE,FALSE,volleyball,walking,TRUE,FALSE,49,3,3,2,85,18,2,romance,red,apple,Portuguese,language,physics,3,brazil,always,always,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,67,145,540,640,1180,3.5
183,USA,freshman,ride the subway,Right,FALSE,TRUE,SPRING,TRUE,FALSE,basketball,basketball,FALSE,TRUE,63,0,1,1,13,4,2,physical therapy,blue,watermelon,English,math,history,15,USA,always,sometimes,yes,yes,yes,no,no,yes,it's required,FALSE,TRUE,62,125,660,520,1180,3.13
230,Guyana,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,track,volleyball,TRUE,FALSE,70,0,1,2,14,6,3,nutrition,blue,mango,English,communication,writing,8,Guyana,always,always,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,71,180,620,640,1260,3.4
253,Jamaica,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,basketball,volleyball,TRUE,TRUE,unknown,5,1,1,27.5,10,3,nursing,blue,banana,English,history,math,10,Jamaica,always,usually,yes,yes,yes,yes,yes,yes,it's required,FALSE,FALSE,71,170,660,560,1220,2.81
186,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,TRUE,baseball,baseball,FALSE,TRUE,unknown,2,1,2,16,4,5,health education.,brown,watermelon,Spanish,computer,English,2,USA,always,usually,no,yes,yes,no,yes,yes,it's required,TRUE,FALSE,76,275,610,640,1250,3.6
26,Guyana,freshman,"ride the subway, ride the bus",Right,FALSE,TRUE,SPRING,TRUE,FALSE,basketball,volleyball,FALSE,FALSE,unknown,1,1,1,0,Unknown,5,accounting,black,mango,English,math,science,5,Guyana,always,usually,no,yes,yes,no,no,no,it's required,TRUE,TRUE,68,190,550,560,1110,2.5
110,USA,freshman,ride the subway,Left,TRUE,FALSE,SUMMER,TRUE,TRUE,basketball,volleyball,FALSE,TRUE,unknown,0,7,8,111,10,unknown,sociology,blue,banana,Spanish,language,writing,5,USA,always,sometimes,yes,no,yes,no,no,yes,it's required,FALSE,TRUE,60,115,670,700,1370,3.7
158,USA,nondegree student,walk,Left,TRUE,FALSE,SPRING,FALSE,TRUE,football,golf,FALSE,FALSE,unknown,5,0,1,9,5,2,accounting,red,pear,English,no favorite,none,6,USA,always,always,yes,no,yes,no,no,no,it's required,TRUE,TRUE,71,155,590,610,1200,3.7
198,Guyana,freshman,ride the bus,Right,FALSE,FALSE,FALL,TRUE,FALSE,basketball,basketball,FALSE,FALSE,unknown,1,3,2,107.5,10,2,sociology,blue,banana,English,history,English,10,Guyana,sometimes,sometimes,yes,yes,yes,no,yes,yes,it's required,FALSE,FALSE,73,155,730,740,1470,3.21
176,Dominican Republic,freshman,ride the subway,Right,FALSE,FALSE,SPRING,FALSE,FALSE,baseball,baseball,FALSE,FALSE,unknown,2,2,1,12,5,2,computer science,blue,strawberry,Spanish,Spanish,science,14,USA,always,usually,yes,yes,no,no,yes,yes,it's required,FALSE,TRUE,65,155,640,640,1280,3.7
225,USA,freshman,ride the subway,Right,TRUE,TRUE,FALL,FALSE,FALSE,baseball,volleyball,FALSE,FALSE,80,11,1,1,18,12,3,engineering,black,peach,Spanish,math,English,10,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,65,135,550,650,1200,2.94
241,Dominican Republic,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,TRUE,FALSE,baseball,volleyball,TRUE,FALSE,unknown,10,2,2,60,13,4,sociology,orange,grape,Spanish,literature,math,3,Dominican Rep,always,usually,yes,no,yes,no,yes,no,it's required,TRUE,FALSE,71,193,630,620,1250,3.25
264,Poland,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,volleyball,volleyball,FALSE,FALSE,80,5,1,2,8,15,10,nursing,black,apple,Polish,music,history,8,Poland,always,usually,no,yes,yes,no,yes,yes,it's required,FALSE,TRUE,59,115,520,520,1040,3.3
193,USA,freshman,"walk, ride the subway",Right,TRUE,TRUE,FALL,FALSE,TRUE,baseball,volleyball,TRUE,TRUE,78,2,1,2,16,18,1,media studies/communication,black,pear,Spanish,English,"sociology, chemistry",35,Dominican Republic,always,never,no,no,no,no,yes,yes,it's required,NOT SURE,FALSE,69,130,620,630,1250,3.15
81,Russia,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,basketball,walking,FALSE,FALSE,70,4,5,4,11,18,10,computers,blue,apple,Russian,math,none,14,Russia,always,sometimes,yes,no,yes,no,yes,no,it's required,TRUE,FALSE,69,165,530,610,1140,2.7
100,USA,junior,ride the subway,Right,FALSE,TRUE,SPRING,FALSE,TRUE,figure skating,soccer,FALSE,TRUE,unknown,5,1,2,12,5,1,psychology,black,apple,English,psychology,math,2,USA,always,sometimes,yes,yes,yes,no,yes,no,it's required,TRUE,FALSE,70,155,610,640,1250,3.33
41,USA,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,FALSE,TRUE,basketball,soccer,FALSE,FALSE,62,3,2,2,53.5,10,1,nursing,black,apple,English,math,history,7,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,NOT SURE,TRUE,60,98,490,550,1040,3.1
127,El Salvador,nondegree student,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,soccer,baseball,TRUE,FALSE,unknown,3,1,2,65,8,1,psychology,black,coconut,Spanish,math,science,8,USA,usually,usually,yes,no,yes,yes,yes,yes,it's required,TRUE,FALSE,72,165,500,500,1000,3.3
1,Dominican Republic,freshman,ride the subway,Left,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,basketball,TRUE,FALSE,unknown,4,4,4,Unknown,24,1,physical therapy,green,mango,English,physics,anthropology,8,Dominican Rep,always,usually,yes,yes,yes,no,no,no,it's required,TRUE,TRUE,71,180,540,670,1210,3.13
163,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,TRUE,body building,none,FALSE,FALSE,82,5,2,1,56,12,1,physical therapy,blue,pineapple,English,English,algebra,24,USA,always,usually,yes,no,yes,no,yes,no,it's required,TRUE,FALSE,73,185,650,530,1180,2.5
235,Bangladesh,freshman,ride the subway,Right,TRUE,TRUE,SPRING,FALSE,FALSE,cricket,none,FALSE,FALSE,72,13,1,1,5,24,1,undecided,white,mango,Bengali,physics,chemistry,30,Bangladesh,always,sometimes,no,no,no,no,yes,no,chose to take,TRUE,FALSE,71,265,440,460,900,2.7
234,Armenia,sophomore,ride the subway,Right,FALSE,TRUE,SPRING,TRUE,TRUE,baseball,baseball,TRUE,FALSE,73,0,0,1,97,27,2,undecided,green,apple,Armenian,biology,history,11,Armenia,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,71,138,730,650,1380,3.56
211,Philippines,freshman,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,FALSE,basketball,basketball,TRUE,FALSE,unknown,0,3,1,12,12,3,computer science,blue,kiwi,Tagalog,literature,history,3,Philippines,usually,usually,no,yes,yes,no,no,no,it's required,TRUE,FALSE,75,156,550,710,1260,2.8
75,India,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,baseball,badminton,TRUE,FALSE,84,15,2,2,37.5,16,10,undecided,green,cherry,Hindi,math,English,20,India,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,64,143,430,610,1040,3.25
37,USA,sophomore,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,basketball,basketball,FALSE,FALSE,80,3,0,1,30,12,20,accounting,purple,orange,Ebonics,math,English,14,USA,always,never,yes,yes,yes,yes,yes,yes,chose to take,TRUE,TRUE,64,130,570,570,1140,2.4
205,Jamaica,junior,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,TRUE,figure skating,aerobics,TRUE,FALSE,unknown,0,2,3,82,Unknown,unknown,nursing,all,mango,English,no favorite,economics,1,Jamaica,always,never,yes,yes,yes,no,no,no,it's required,TRUE,FALSE,65,140,670,710,1380,3.8
192,Dominican Republic,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,volleyball,volleyball,TRUE,FALSE,unknown,12,1,1,42,10,1,psychology,white,watermelon,Spanish,history,math,2,Dominican Rep.,always,usually,yes,yes,yes,no,yes,yes,it's required,FALSE,FALSE,62,140,650,550,1200,2.9
48,Dominican Republic,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,baseball,baseball,FALSE,TRUE,unknown,2,2,2,12,2,1,sociology,yellow,cherry,Spanish,math,none,6,USA,always,sometimes,no,yes,yes,no,no,yes,it's required,TRUE,TRUE,64,130,640,730,1370,3.84
145,USA,junior,drive,Right,FALSE,TRUE,FALL,TRUE,TRUE,football,football,FALSE,TRUE,68,0,1,2,85,2,1,nursing,blue,orange,English,no favorite,literature,15,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,74,160,630,690,1320,2.9
154,USA,freshman,ride the subway,Right,TRUE,FALSE,SUMMER,FALSE,FALSE,basketball,baseball,FALSE,TRUE,70,100,2,2,50,10,1,psychology,blue,peach,English,psychology,math,20,USA,always,always,yes,yes,yes,yes,no,no,it's required,TRUE,FALSE,64,115,580,680,1260,3.7
33,USA,junior,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,soccer,walking,TRUE,TRUE,unknown,10,1,2,72,10,2,community health,purple,pear,English,women's studies,math,0,USA,always,sometimes,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,62,119,560,580,1140,3.28
259,Peru,junior,ride the subway,Right,TRUE,FALSE,FALL,FALSE,FALSE,gymnastics,gymnastics,FALSE,FALSE,63,2,2,1,68,15,2,psychology,black,peach,English,psychology,art,6,Peru,always,always,yes,no,yes,yes,no,yes,it's required,FALSE,TRUE,70,222,510,730,1240,3.5
35,USA,senior,"walk, ride the subway, ride the bus",Right,FALSE,TRUE,FALL,TRUE,TRUE,figure skating,swimming,TRUE,TRUE,unknown,15,1,1,12,Unknown,3,education,purple,orange,English,religion,chemistry-lab,3,USA,sometimes,usually,yes,no,yes,no,no,yes,chose to take,FALSE,TRUE,67,129,470,600,1070,2.6
19,USA,freshman,ride the subway,Right,FALSE,TRUE,SUMMER,TRUE,TRUE,"basketball, boxing",volleyball,TRUE,FALSE,unknown,10,8,8,56.5,Unknown,3,community health,blue,banana,English,black studies,chemistry,10,USA,usually,always,yes,yes,yes,no,yes,yes,it's required,FALSE,TRUE,68,145,560,570,1130,2.9
129,USA,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,basketball,bowling,FALSE,TRUE,unknown,2,5,6,68,8,3,special education,black,grape,English,no favorite,math,20,USA,always,sometimes,yes,no,yes,no,yes,yes,it's required,FALSE,FALSE,66,126,610,650,1260,3.79
22,USA,sophomore,ride the subway,Right,FALSE,FALSE,SUMMER,TRUE,TRUE,baseball,volleyball,TRUE,TRUE,70,3,1,2,28.5,30,4,physical therapy,navy,orange,English,math,org. chemistry,13,USA,always,sometimes,yes,yes,yes,no,yes,yes,it's required,TRUE,TRUE,70,167,550,680,1230,3.3
194,Ecuador,freshman,ride the subway,Right,FALSE,TRUE,FALL,TRUE,FALSE,track,track,TRUE,TRUE,87,1,3,2,6,14,4,English,blue,lemon,Spanish,English,chemistry,14,Ecuador,always,always,yes,no,yes,no,no,yes,it's required,FALSE,FALSE,70,170,530,590,1120,3.88
164,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,figure skating,bicycling,FALSE,TRUE,unknown,1,2,1,12,20,4,education,green,pineapple,English,math,English,20,USA,always,usually,yes,yes,yes,yes,no,yes,chose to take,FALSE,TRUE,70,185,650,650,1300,3.2
85,Uzbekistan,freshman,ride the subway,Right,TRUE,TRUE,SPRING,TRUE,FALSE,figure skating,tennis,FALSE,TRUE,unknown,12,1,1,6,10,6,computers,gray,apple,Russian,psychology,French,4,Uzbekistan,always,usually,yes,yes,yes,no,yes,no,it's required,FALSE,TRUE,73,206,560,660,1220,2
